metric,value
abs_cap_ms,604800000
api_event_to_now_ms.max_ms,218931486.0
api_event_to_now_ms.mean_ms,179803162.768
api_event_to_now_ms.n,99
api_event_to_now_ms.p50_ms,146937486.0
api_event_to_now_ms.p90_ms,218931486.0
api_event_to_now_ms.p95_ms,218931486.0
api_event_to_now_ms.p99_ms,218931486.0
ch_event_to_inserted_ms.max_ms,188190921.0
ch_event_to_inserted_ms.mean_ms,138032442.7
ch_event_to_inserted_ms.n,5000
ch_event_to_inserted_ms.p50_ms,134985390.0
ch_event_to_inserted_ms.p90_ms,187119921.0
ch_event_to_inserted_ms.p95_ms,187125921.0
ch_event_to_inserted_ms.p99_ms,187130921.0
ch_event_to_now_ms.max_ms,192081162.0
ch_event_to_now_ms.mean_ms,176652415.6
ch_event_to_now_ms.n,5000
ch_event_to_now_ms.p50_ms,191006162.0
ch_event_to_now_ms.p90_ms,191019162.0
ch_event_to_now_ms.p95_ms,191021162.0
ch_event_to_now_ms.p99_ms,192081162.0
ch_event_to_received_ms.max_ms,188185881.0
ch_event_to_received_ms.mean_ms,129079984.511
ch_event_to_received_ms.n,5000
ch_event_to_received_ms.p50_ms,123222501.0
ch_event_to_received_ms.p90_ms,178118673.3
ch_event_to_received_ms.p95_ms,182620081.05
ch_event_to_received_ms.p99_ms,186220324.04
ch_received_to_inserted_ms.max_ms,18003334.0
ch_received_to_inserted_ms.mean_ms,8952458.189
ch_received_to_inserted_ms.n,5000
ch_received_to_inserted_ms.p50_ms,9002418.0
ch_received_to_inserted_ms.p90_ms,15303579.7
ch_received_to_inserted_ms.p95_ms,16204936.05
ch_received_to_inserted_ms.p99_ms,17992503.02
generated_at_utc,2026-05-17T12:48:51.603359+00:00
max_age_minutes,10080
sample_limit,200000
scylla_event_to_now_ms.max_ms,192086484.0
scylla_event_to_now_ms.mean_ms,165552342.586
scylla_event_to_now_ms.n,99
scylla_event_to_now_ms.p50_ms,146931484.0
scylla_event_to_now_ms.p90_ms,191023684.0
scylla_event_to_now_ms.p95_ms,191025484.0
scylla_event_to_now_ms.p99_ms,191048664.0
scylla_event_to_write_ms.max_ms,103510441.756
scylla_event_to_write_ms.mean_ms,60325761.973
scylla_event_to_write_ms.n,50
scylla_event_to_write_ms.p50_ms,103386386.773
scylla_event_to_write_ms.p90_ms,103509340.9
scylla_event_to_write_ms.p95_ms,103510341.917
scylla_event_to_write_ms.p99_ms,103510393.244
scylla_producer_to_write_ms.max_ms,155.186
scylla_producer_to_write_ms.mean_ms,101.033
scylla_producer_to_write_ms.n,50
scylla_producer_to_write_ms.p50_ms,88.551
scylla_producer_to_write_ms.p90_ms,146.633
scylla_producer_to_write_ms.p95_ms,149.282
scylla_producer_to_write_ms.p99_ms,153.044
source_api,ok (http://localhost:8020/api/stocks/latest)
source_clickhouse,ok (localhost)
source_scylla,"ok (localhost,127.0.0.1,scylla-node1,scylla-node2,scylla-node3)"
window_minutes,1440
